EmpID,First name,Last name,Date of birth,SSN,State
1128,Jessica,Sheppard,24/05/70,xxx-xx-4987,RI
1988,Sarah,Rodriguez,18/07/86,xxx-xx-8700,WY
573,Steven,Parker,20/09/81,xxx-xx-5891,NE
107,Patricia,Bennett,08/06/84,xxx-xx-0424,LA
2040,Lisa,Mathis,27/01/57,xxx-xx-3247,WI
1103,Dale,Garza,01/09/82,xxx-xx-4719,MI
748,Jeffrey,Guerra,22/10/83,xxx-xx-9519,VT
1516,Anthony,Martinez,16/01/58,xxx-xx-0874,OR
1143,Jorge,Howard,18/04/82,xxx-xx-0640,KY
1374,Jennifer,Austin,10/04/84,xxx-xx-4858,WA
1517,Calvin,Sosa,28/02/69,xxx-xx-8986,PA
1649,Isaac,Franco,29/08/89,xxx-xx-3428,ND
566,Norman,Harris,10/02/81,xxx-xx-7233,MN
965,Becky,Carroll,16/08/92,xxx-xx-3619,TX
277,Kellie,Montgomery,11/03/70,xxx-xx-8490,ME
696,Amber,Mullen,23/05/87,xxx-xx-5573,NM
1356,Andrew,Bennett,02/10/88,xxx-xx-5167,OK
1443,Jacob,Taylor,16/10/88,xxx-xx-1835,CA
1423,Gregory,Day,07/06/82,xxx-xx-9482,NV
160,Danielle,Smith,31/01/72,xxx-xx-3726,AZ
1540,Nathan,Sims,29/06/82,xxx-xx-4681,AK
1305,Lisa,Lawrence,19/12/57,xxx-xx-9699,TN
299,Kristen,Morales,17/05/63,xxx-xx-4085,SD
1285,Lee,Terry,26/02/65,xxx-xx-3702,ME
172,Vincent,Williams,03/03/74,xxx-xx-3233,OR
1837,James,Mcfarland,29/05/92,xxx-xx-7711,TX
231,Arthur,Lawrence,11/06/74,xxx-xx-4845,SC
743,Randy,Christian,01/11/62,xxx-xx-4642,MT
290,Ashley,Hurley,20/08/70,xxx-xx-6712,SD
1691,Sarah,Stewart,02/02/69,xxx-xx-1055,IN
1744,Justin,Williams,09/06/76,xxx-xx-4152,WA
615,Frederick,Sanchez,21/07/78,xxx-xx-8901,OR
1427,Sarah,Baldwin,10/01/64,xxx-xx-3313,SC
252,John,Larson,13/03/89,xxx-xx-9091,CT
1418,Christina,Nielsen,18/04/57,xxx-xx-4490,SD
732,Jesse,Jones,14/02/59,xxx-xx-5626,VT
1198,Dorothy,Beltran,16/11/86,xxx-xx-2110,LA
2116,Tammy,Brock,24/04/92,xxx-xx-3729,MN
946,Melissa,Mitchell,25/03/75,xxx-xx-6449,KS
921,James,Ramirez,09/06/83,xxx-xx-6140,FL
1706,Benjamin,Long,25/12/71,xxx-xx-4171,ND
2039,William,Shields,19/06/70,xxx-xx-4599,TN
1378,Crystal,Brooks,27/11/62,xxx-xx-4904,NY
772,Richard,Gilbert,11/10/62,xxx-xx-7467,MO
1558,Beth,Davis,17/11/90,xxx-xx-2566,DE
14,Tyler,Brown,13/07/64,xxx-xx-0128,ME
513,Melissa,Duncan,20/03/85,xxx-xx-5735,NH
1002,Alexandra,Berry,10/04/73,xxx-xx-4917,CA
863,Ashley,Morgan,29/01/57,xxx-xx-5705,ME
1026,Matthew,Beasley,30/05/69,xxx-xx-7294,DE
433,Angela,Gregory,14/05/80,xxx-xx-1822,AR
